sozlesme_hesap_no;Toplam_Tuketim_kWh;Fatura_Sayisi;Ortalama_Aylik_kWh;Ilce;Tarife
6414845714;2634973,74;59;44660,57186440678;GÜMÜŞHACIKÖY;6
7553584057;1636590,3;36;45460,84166666667;GÜMÜŞHACIKÖY;T019
8398443615;1238340,68;41;30203,431219512193;GÜMÜŞHACIKÖY;A002
4777252213;857108,7;49;17492,014285714286;GÜMÜŞHACIKÖY;T019
3798287663;807523,86;52;15529,305;GÜMÜŞHACIKÖY;4
16419436;776755,31;41;18945,251463414636;GÜMÜŞHACIKÖY;T001
4831215580;771460,44;51;15126,675294117646;GÜMÜŞHACIKÖY;T012
5515560446;566836,64;37;15319,90918918919;GÖYNÜCEK;T012
6954808809;504251,61;57;8846,51947368421;GÜMÜŞHACIKÖY;TA01
5890799009;477336,42;33;14464,74;GÖYNÜCEK;TA02
4429981104;458395,92;27;16977,626666666667;GÜMÜŞHACIKÖY;1
8449517062;443369,5;50;8867,39;GÜMÜŞHACIKÖY;3
1821940530;396870,44;31;12802,272258064517;GÜMÜŞHACIKÖY;TA01
5441591706;393258,72;38;10348,913684210525;GÜMÜŞHACIKÖY;3
232229978;380181,27;32;11880,6646875;GÜMÜŞHACIKÖY;TA01
4452231158;369307,04;37;9981,27135135135;HAMAMÖZÜ;S001
8306730508;364841,48;32;11401,29625;GÜMÜŞHACIKÖY;TA01
1002661092;348655,44;44;7923,987272727273;GÖYNÜCEK;S001
3128095181;335398,22;31;10819,297419354838;GÜMÜŞHACIKÖY;TA01
3119862760;334598,48;51;6560,754509803921;GÜMÜŞHACIKÖY;T012
3557830636;333761,44;34;9816,51294117647;GÜMÜŞHACIKÖY;TA01
3077793184;329706,44;38;8676,485263157894;GÜMÜŞHACIKÖY;T001
4694257405;313981,65;34;9234,754411764707;GÜMÜŞHACIKÖY;TA02
8729043055;313006,58;42;7452,537619047619;GÜMÜŞHACIKÖY;TA01
5966038883;308257,01;40;7706,42525;GÜMÜŞHACIKÖY;TA02
7784444058;296691,08;45;6593,135111111112;GÜMÜŞHACIKÖY;TA02
1182818362;286719,93;25;11468,797199999999;HAMAMÖZÜ;T001
8873190270;282320,44;32;8822,51375;GÜMÜŞHACIKÖY;TA01
9150855017;270619,65;5;54123,93000000001;GÜMÜŞHACIKÖY;S001
2261935315;269623,72;37;7287,127567567567;GÜMÜŞHACIKÖY;TA01
4776300552;267763,35;33;8114,040909090909;GÜMÜŞHACIKÖY;TA01
8648432775;267248,4;45;5938,8533333333335;GÜMÜŞHACIKÖY;TA02
4683978638;263074,02;37;7110,108648648649;GÜMÜŞHACIKÖY;TA01
2348678184;260460,01;40;6511,50025;GÖYNÜCEK;TA01
4703789766;257826,79;49;5261,771224489796;GÜMÜŞHACIKÖY;T012
4942802841;254486,24;35;7271,035428571428;GÜMÜŞHACIKÖY;TA01
7598982997;250083,53;32;7815,1103125;GÜMÜŞHACIKÖY;T001
2583763968;246240,78;50;4924,8156;GÖYNÜCEK;TA01
5605000892;244675,92;49;4993,38612244898;GÜMÜŞHACIKÖY;3
4650708900;238633,78999999998;34;7018,640882352941;GÜMÜŞHACIKÖY;TA01
8502645783;218630,76;28;7808,2414285714285;HAMAMÖZÜ;T019
3410991;214559,06;43;4989,745581395348;GÜMÜŞHACIKÖY;TA02
2213264791;207123,28;31;6681,396129032258;GÜMÜŞHACIKÖY;T001
7339091584;204636,77;52;3935,3224999999998;GÜMÜŞHACIKÖY;TA02
9315886752;203997,66;32;6374,926875;GÜMÜŞHACIKÖY;TA01
7513817453;201770,37;51;3956,2817647058823;GÖYNÜCEK;TA02
4569013573;196731,38;44;4471,1677272727275;GÖYNÜCEK;TA01
3321540838;195632,51;32;6113,5159375;GÜMÜŞHACIKÖY;TA03
7165666873;191878,21;34;5643,4767647058825;GÜMÜŞHACIKÖY;TA01
3383864487;191876,65;28;6852,7375;GÜMÜŞHACIKÖY;TA02
